73203 Öffentliche Verwaltung (o.S.)-Spezialist;66961;4077,505283;4783,006255;5596,204518;73203;Ã–ffentliche Verwaltung (o.S.)-Spezialist;24
73293 Aufsicht - Verwaltung;715;5082,090909;5869,944444;6397,677419;73293;Aufsicht - Verwaltung;25
73294 Führung - Verwaltung;12465;5122,290541;6714,152482;> 7.100;73294;FÃ¼hrung - Verwaltung;26
81102 Medizin. Fachangestellte (oS)-Fachkraft;174368;2407,679676;2898,560005;3413,331737;81102;Medizin. Fachangestellte (oS)-Fachkraft;27
81112 Zahnmedizin. Fachangestellte - Fachkraft;89811;2177,082343;2520,71146;2926,425708;81112;Zahnmedizin. Fachangestellte - Fachkraft;28
81142 Tiermedizin. Fachangestellte - Fachkraft;10022;2354,73913;2663,122549;3055,826087;81142;Tiermedizin. Fachangestellte - Fachkraft;29
81301 Gesundheits-, Krankenpflege (oS)-Helfer;78528;2752,61433;3115,898335;3667,064417;81301;Gesundheits-, Krankenpflege (oS)-Helfer;30
81302 Gesundheits-,Krankenpflege(oS)-Fachkraft;320803;3607,938505;4055,532241;4551,899001;81302;Gesundheits-,Krankenpflege(oS)-Fachkraft;1
81313 Fachkrankenpflege - Spezialist;31116;3896,588795;4518,828652;5150,5;81313;Fachkrankenpflege - Spezialist;2
81341 Rettungsdienst - Helfer;2549;2609,641791;2995,8125;3385,25;81341;Rettungsdienst - Helfer;3
81404 Ärzte/Ärztinnen (o.S.) - Experte;110094;5823,956522;6785,233804;> 7.100;81404;Ã„rzte/Ã„rztinnen (o.S.) - Experte;4
81484 Ärzte/Ärztinnen (s.s.T.) - Experte;6710;6555,008197;> 7.100;> 7.100;81484;Ã„rzte/Ã„rztinnen (s.s.T.) - Experte;5
81494 Führung - Human- und Zahnmedizin;28335;> 7.100;> 7.100;> 7.100;81494;FÃ¼hrung - Human- und Zahnmedizin;6
81504 Tierärzte/-ärztinnen (o.S.) - Experte;7555;3735;4773,648148;6162,278846;81504;TierÃ¤rzte/-Ã¤rztinnen (o.S.) - Experte;7
81614 Nicht klinische Psychologie - Experte;1618;3875,5;4900,5;5838;81614;Nicht klinische Psychologie - Experte;8
81624 Klinische Psychologie - Experte;9837;3786,267327;4866,571429;6143,387931;81624;Klinische Psychologie - Experte;9
81713 Physiotherapie - Spezialist;61140;2606,150558;3066,950617;3613,729572;81713;Physiotherapie - Spezialist;10
81723 Ergotherapie - Spezialist;20851;2743,25;3279,305497;3836,520531;81723;Ergotherapie - Spezialist;11
81804 Apotheker, Pharmazeuten - Experte;20186;4234,189024;5126,257576;6001,865546;81804;Apotheker, Pharmazeuten - Experte;12
81894 Führung - Pharmazie;1643;6071,59375;> 7.100;> 7.100;81894;FÃ¼hrung - Pharmazie;13
82101 Altenpflege (o.S.) - Helfer;88982;2611,083278;2905,572645;3245,708057;82101;Altenpflege (o.S.) - Helfer;14
82102 Altenpflege (o.S.) - Fachkraft;133644;3501,782051;3901,266324;4292,145207;82102;Altenpflege (o.S.) - Fachkraft;15
82194 Führung - Altenpflege;5601;5222,742647;5991,794643;6790,333333;82194;FÃ¼hrung - Altenpflege;16
82223 Wellness - Spezialist;588;2277,772727;2650,5;3236,214286;82223;Wellness - Spezialist;17
82233 Ernährungsberatung - Spezialist;513;2682,230769;3336,4375;4118;82233;ErnÃ¤hrungsberatung - Spezialist;18
82311 Friseurgewerbe - Helfer;1477;1344,770833;1893,04386;2099,305147;82311;Friseurgewerbe - Helfer;19
82312 Friseurgewerbe - Fachkraft;40049;1680,036405;2052,246183;2296,3576;82312;Friseurgewerbe - Fachkraft;20
82393 Aufsicht - Körperpflege;5582;1874,469072;2312,654696;2684,241259;82393;Aufsicht - KÃ¶rperpflege;21
82401 Bestattungswesen - Helfer;2144;2451,56383;2896,726415;3405,763158;82401;Bestattungswesen - Helfer;22
82402 Bestattungswesen - Fachkraft;5284;2617,435484;3153,255906;3762,456522;82402;Bestattungswesen - Fachkraft;23
82522 Augenoptik - Fachkraft;17391;2427,970238;2815,5;3283,866935;82522;Augenoptik - Fachkraft;24
82532 Hörgeräteakustik - Fachkraft;7073;2448,892857;2833,093458;3568,050505;82532;HÃ¶rgerÃ¤teakustik - Fachkraft;25
83111 Kinderbetreuung, -erziehung - Helfer;17289;2462,122807;3039,819809;3618,381016;83111;Kinderbetreuung, -erziehung - Helfer;26
83112 Kinderbetreuung, -erziehung - Fachkraft;191867;3371,108935;3781,313258;4284,071054;83112;Kinderbetreuung, -erziehung - Fachkraft;27
83124 Sozialarbeit, Sozialpädagogik - Experte;124618;3754,88211;4370,792736;5052,957824;83124;Sozialarbeit, SozialpÃ¤dagogik - Experte;28
83131 Heilerziehungspflege, Sonderpäd. -Helfer;16472;2321,567416;3098,989426;3705,261905;83131;Heilerziehungspflege, SonderpÃ¤d. -Helfer;29
83132 Heilerziehungspflege,Sonderpäd-Fachkraft;16472;3536,742604;4047,587379;4657,440063;83132;Heilerziehungspflege,SonderpÃ¤d-Fachkraft;30
83133 Heilerziehungspfl.,Sonderpäd.-Spezialist;34179;3545,950477;3976,901869;4497,05;83133;Heilerziehungspfl.,SonderpÃ¤d.-Spezialist;1
83194 Führung-Erziehung,Sozialarbeit,Heilerz.;10985;4408,373377;5221,228643;6127,814815;83194;FÃ¼hrung-Erziehung,Sozialarbeit,Heilerz.;2
83211 Hauswirtschaft - Helfer;14619;1871,895706;2411,042169;2975,647059;83211;Hauswirtschaft - Helfer;3
83212 Hauswirtschaft - Fachkraft;24089;2133,722656;2541;3092,261364;83212;Hauswirtschaft - Fachkraft;4
83314 Theologie - Experte;9271;3741,846154;5317,905063;6928,178571;83314;Theologie - Experte;5
83322 Gemeindearbeit - Fachkraft;1069;3339,190476;4036,369565;5283,138889;83322;Gemeindearbeit - Fachkraft;6
84304 Hochschullehre und -forschung - Experte;121526;4633,410864;5164,017306;6283,710227;84304;Hochschullehre und -forschung - Experte;7
84394 Führung - Hochschullehre und -forschung;718;6125,5;> 7.100;> 7.100;84394;FÃ¼hrung - Hochschullehre und -forschung;8
91324 Soziologie - Experte;1690;4232,444444;5140,5;6275,5;91324;Soziologie - Experte;9
91343 Markt-, Meinungsforschung - Spezialist;1790;5337,038462;6575,5;> 7.100;91343;Markt-, Meinungsforschung - Spezialist;10
91344 Markt-, Meinungsforschung - Experte;6826;4353,277778;6076,461538;> 7.100;91344;Markt-, Meinungsforschung - Experte;11
92112 Werbung und Marketing - Fachkraft;39028;3236,379218;4123,627341;5373;92112;Werbung und Marketing - Fachkraft;12
92113 Werbung und Marketing - Spezialist;122194;3871,938547;5196,261857;7001,248792;92113;Werbung und Marketing - Spezialist;13
92204 Öffentlichkeitsarbeit - Experte;2920;5121,333333;6353,202703;> 7.100;92204;Ã–ffentlichkeitsarbeit - Experte;14
92413 Redakteure, Journalisten - Spezialist;44951;3602,168233;4657,554176;6123,509259;92413;Redakteure, Journalisten - Spezialist;15
